epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0797,3.56244,11.6341,1.60066,0.00167,0.05,0.00088,0.00062,3.40486,5.51035,1.9374,2e-05,2e-05,2e-05
2,27.7553,3.57661,6.79789,1.69964,0.00167,0.05,0.00093,0.00056,3.13386,5.04867,1.67894,5.9406e-05,5.9406e-05,5.9406e-05
3,38.373,3.35076,5.09137,1.58651,0.21665,0.2,0.0651,0.02927,2.78653,3.80149,1.44369,9.802e-05,9.802e-05,9.802e-05
4,49.0378,2.89947,3.99765,1.40397,0.66122,0.3,0.43757,0.13644,2.69637,4.36563,1.37027,0.000135842,0.000135842,0.000135842
5,59.6466,2.27953,3.20153,1.16707,0.6954,0.7991,0.80516,0.28423,2.42241,2.79137,1.22018,0.000172872,0.000172872,0.000172872
6,70.2893,2.41629,2.85262,1.04994,0.62563,0.7,0.52523,0.16356,2.32949,2.59039,1.23262,0.00020911,0.00020911,0.00020911
7,80.7098,2.03505,1.94038,1.06526,0.63074,0.85421,0.7216,0.24099,2.0478,2.80801,1.1507,0.000244556,0.000244556,0.000244556
8,91.3325,1.95319,1.43719,1.02127,0.81161,0.95,0.86183,0.34512,1.76782,2.9553,1.03439,0.00027921,0.00027921,0.00027921
9,102.13,1.90871,1.46924,1.08439,0.62939,0.9,0.64322,0.24978,1.78908,3.74271,1.04756,0.000313072,0.000313072,0.000313072
10,112.701,1.74071,1.35734,1.0735,0.55837,0.95,0.62243,0.26204,1.7696,3.98162,1.03018,0.000346142,0.000346142,0.000346142
11,123.222,1.79146,1.67881,1.01937,0.74678,0.95,0.75856,0.35722,1.72729,4.40359,1.02871,0.00037842,0.00037842,0.00037842
12,133.892,1.86747,1.59756,0.95565,0.66053,1,0.67458,0.32279,1.73446,4.78771,1.02345,0.000409906,0.000409906,0.000409906
13,144.556,1.71689,1.14938,0.9521,0.62968,0.95,0.63827,0.309,1.69798,5.13088,1.00488,0.0004406,0.0004406,0.0004406
14,155.067,1.74479,1.18772,0.94894,0.72588,0.95,0.72506,0.36366,1.65298,4.67662,0.99103,0.000470502,0.000470502,0.000470502
15,165.76,1.67698,1.10449,1.03058,0.42531,0.75,0.49138,0.25956,1.65057,3.35469,0.98244,0.000499612,0.000499612,0.000499612
16,176.412,1.74387,0.95603,0.99634,0.51399,0.8,0.50714,0.24718,1.63573,2.85599,0.98583,0.00052793,0.00052793,0.00052793
17,187.04,1.67425,0.98308,0.982,0.72761,1,0.78415,0.38966,1.55128,2.3472,0.97117,0.000555456,0.000555456,0.000555456
18,197.74,1.66857,1.01322,1.02978,0.74148,1,0.77736,0.39229,1.50125,2.57073,0.97059,0.00058219,0.00058219,0.00058219
19,208.374,1.67393,0.96079,1.10704,0.71264,1,0.76538,0.41262,1.39473,2.55585,0.9534,0.000608132,0.000608132,0.000608132
20,219.01,1.51155,1.31593,0.98593,0.79909,1,0.85048,0.38608,1.5865,2.66289,1.02485,0.000633282,0.000633282,0.000633282
21,229.652,1.80193,0.9528,1.0978,0.86186,1,0.92341,0.35338,1.85307,1.98915,1.1475,0.00065764,0.00065764,0.00065764
22,240.284,1.76499,0.9499,0.9667,0.92556,1,0.99262,0.48486,1.66144,1.43812,1.04486,0.000681206,0.000681206,0.000681206
23,251.024,1.59424,0.95797,0.94505,0.86034,1,0.93653,0.52344,1.42866,1.42956,0.9521,0.00070398,0.00070398,0.00070398
24,261.724,1.87772,1.03156,1.2501,0.89099,1,0.92227,0.48745,1.45982,1.56324,0.96518,0.000725962,0.000725962,0.000725962
25,272.467,1.54867,0.93566,0.98846,0.89108,1,0.98071,0.50838,1.4583,1.52032,0.95892,0.000747152,0.000747152,0.000747152
26,283.221,1.5774,0.90099,0.9779,0.86519,1,0.97012,0.51223,1.48829,1.00317,0.97438,0.00076755,0.00076755,0.00076755
27,293.788,1.82009,0.9613,1.0653,0.94723,1,0.99024,0.49087,1.57948,0.88215,1.00652,0.000787156,0.000787156,0.000787156
28,304.415,1.81658,0.90191,1.0224,0.94723,1,0.99024,0.49087,1.57948,0.88215,1.00652,0.00080597,0.00080597,0.00080597
29,315.059,1.65692,0.80457,1.00118,1,0.99483,0.995,0.55264,1.54133,0.79028,0.9805,0.000823992,0.000823992,0.000823992
30,325.835,1.66881,0.83746,1.08696,0.9867,0.95,0.98848,0.54494,1.57971,0.79827,0.95604,0.000841222,0.000841222,0.000841222
31,336.461,1.6164,0.81687,1.01359,0.9867,0.95,0.98848,0.54494,1.57971,0.79827,0.95604,0.00085766,0.00085766,0.00085766
32,347.048,1.65898,0.79644,1.00252,0.93224,0.95,0.95917,0.51338,1.46409,0.86002,0.94003,0.000873306,0.000873306,0.000873306
33,357.645,1.57455,1.03666,0.94203,0.9905,0.95,0.99262,0.53379,1.53841,0.70922,0.98346,0.00088816,0.00088816,0.00088816
34,368.153,1.51207,0.78892,0.92419,0.9905,0.95,0.99262,0.53379,1.53841,0.70922,0.98346,0.000902222,0.000902222,0.000902222
35,378.671,1.37713,0.7617,0.94379,1,0.99774,0.995,0.55866,1.42724,0.66829,0.97264,0.000915492,0.000915492,0.000915492
36,389.44,1.38275,0.75219,0.95006,1,0.99533,0.995,0.55787,1.4173,0.68799,0.96988,0.00092797,0.00092797,0.00092797
37,399.928,1.5675,0.87982,0.99605,1,0.99533,0.995,0.55787,1.4173,0.68799,0.96988,0.000939656,0.000939656,0.000939656
